date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:01	68878/68878	---M--	200	added ('OK')	image/jpeg	etag:%226c63b45613386609e57492103b074247%22	https://assets.website-files.com/5f16ec24d8bd7908a5d24625/600ae4519fd1ef104c265b4d_joshua-zerkel.jpg	C:/My%20Web%20Sites/web/assets.website-files.com/5f16ec24d8bd7908a5d24625/600ae4519fd1ef104c265b4d_joshua-zerkel.jpg	(from https://www.partnerstack.com/)
19:01:01	1911754/1911754	---M--	200	added ('OK')	image/jpeg	etag:%22edf7c28d9102062a337f8df466f5374f%22	https://assets.website-files.com/5f16ec24d8bd7908a5d24625/5f8f58d56e13605df42e9bb0_Anca%20Bujor%20-%20Headshot.jpg	C:/My%20Web%20Sites/web/assets.website-files.com/5f16ec24d8bd7908a5d24625/5f8f58d56e13605df42e9bb0_Anca%20Bujor%20-%20Headshot.jpg	(from https://www.partnerstack.com/)
19:01:01	586860/586860	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd891ade9c71fb85bb1b3ede43f17230%22	https://js.hsforms.net/forms/v2.js	C:/My%20Web%20Sites/web/js.hsforms.net/forms/v2.js	(from https://www.partnerstack.com/)
19:01:02	116751/116751	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jun%202021%2013:01:03%20GMT	https://www.partnerstack.com/policies	C:/My%20Web%20Sites/web/www.partnerstack.com/policies.html	(from https://www.partnerstack.com/)
19:01:02	18471/18471	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jun%202021%2013:01:03%20GMT	https://www.partnerstack.com/integrations	C:/My%20Web%20Sites/web/www.partnerstack.com/integrations.html	(from https://www.partnerstack.com/)
19:01:03	17048/17048	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Jun%202021%2013:01:04%20GMT	https://www.partnerstack.com/partnerstack-partner-programs	C:/My%20Web%20Sites/web/www.partnerstack.com/partnerstack-partner-programs.html	(from https://www.partnerstack.com/)
19:01:05	220106/220106	---M-Z	200	added ('OK')	text/javascript	etag:%221be4f47a127e585eb4e5b4abb24b6d2c%22	https://assets.website-files.com/5f16ec24d8bd7908a5d24625/js/partnerstack-1-9.6849d928e.js	C:/My%20Web%20Sites/web/assets.website-files.com/5f16ec24d8bd7908a5d24625/js/partnerstack-1-9.6849d928e.js	(from https://www.partnerstack.com/)
19:01:05	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5f16ec24d8bd7908a5d24625	C:/My%20Web%20Sites/web/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c85de7.js	(from https://www.partnerstack.com/)
19:01:05	3702/3702	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2010%20Jun%202021%2013:01:06%20GMT	https://ga.clearbit.com/v1/ga.js?authorization=pk_7cabccc667d847617336df59b8235753	C:/My%20Web%20Sites/web/ga.clearbit.com/v1/ga66c1.js	(from https://www.partnerstack.com/)
19:01:06	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2010%20Jun%202021%2013:01:06%20GMT	https://assets.website-files.com/5f16ec24d8bd7908a5d24625/5f183a52ed965b272420673d_5bd86b2716e1ea314e5c2c05_rectangle%20-%20icon%20+%20text%20-%20purple-p-500.png	C:/My%20Web%20Sites/web/assets.website-files.com/5f16ec24d8bd7908a5d24625/5f183a52ed965b272420673d_5bd86b2716e1ea314e5c2c05_rectangle%20-%20icon%20+%20text%20-%20purple-p-500.png	(from https://assets.website-files.com/5f16ec24d8bd7908a5d24625/css/partnerstack-1-9.b8e0fab07.min.css)
19:01:07	66836/66836	---M--	200	added ('OK')	image/jpeg	etag:%228575c3ed1d4da14ec3d44e1fc7b9a3f1%22	https://assets.website-files.com/5f230a7abb143aa545bf6398/60ad30d5d86a177dacc6729f_bryn-jones-headshot.jpg	C:/My%20Web%20Sites/web/assets.website-files.com/5f230a7abb143aa545bf6398/60ad30d5d86a177dacc6729f_bryn-jones-headshot.jpg	(from https://www.partnerstack.com/learn/series-b)
